;Гидроизоляционные материалы;Гидроизоляционные смеси и элементы Lux Elements разработаны с учетом повышенных требований к эксплуатации во влажных помещениях с перепадами температур.  ;"Гидроизоляция в турецких банях и ванных комнатах LUX ELEMENTS

Продукты завода LUX ELEMENTS ориентированы на применение в строительстве помещений с повышенной влажностью. Материал устойчив к образованию плесни и гниению, благодаря внутреннему слою из жестко вспененного полистирола FOAM, который не является питательной средой для губительных микроорганизмов.
Так же завод производит серию продуктов для гидроизоляции: специальные смеси и ленты, которые служат для создания водостойкого основания. Гидроизоляционные смеси и элементы Lux Elements разработаны с учетом требований к эксплуатации во влажных помещениях с перепадами температур.

DRY-ASK – это однокомпонентная, водонепроницаемая покрывающая трещины, эластичная суспензия, наиболее подходящая для гидроизоляционных элементов из жестко-вспененного полистирола LUX ELEMENTS.

DRY-DB – это очень тонкое, прочное, эластичное и не препятствующее диффузии специальное нетканое полотно для герметизации, подходит для уплотнений любых соединений, которые сочетаются с DRY-ASK или DRY-DF например.

DRY-DF– это специальное нетканое полотно для герметизации, подходит для плоских альтернативных уплотнений в полах и стенах. С помощью системных компонентов DRY-DB и DRY- ASK уплотнение переходов, углов, и т.д может считаться завершенным.

DRY-DBDZM - это манжеты с расширяющимся участком на основе ПВХ(доступно четыре варианта размера ). Находящийся посредине расширяющийся участок позволяет герметизировать трубы с разным внешним диаметром.

DRY-DBV – это уплотнительная лента с герметизирующими и пароизоляционными свойствами для использования в сочетании с ELEMENT-VKС с ламинированным нетканым полотном при герметизации стыков панелей. Применение оригинальных сухих смесей и гидроизоляционных лент гарантирует Вам высочайшую надежность и долговечность конструкций.

Жидкая герметизация
Для герметизации несущих элементов из жесткого пенопласта рекомендуется использовать эластичную суспензию, которая наносится выравнивающей кельмой.

Гидроизоляционные ленты
Это специальное тонкое покрытие, устойчивой к разрывам волокнистой ленты. Чаще всего используется для герметизации потов или стен.
";гидроизоляция, гидроизоляционные смеси, гидроизоляция ванной, смеси гидроизоляционные, сухие гидроизоляционные смеси, гидроизоляция хамама;Купить качественные материалы для гидроизоляции и сухие строительные смеси для использования во влажных помещениях. Качество Lux Elements;DRY-DB.jpg$Lux Elements гидроизоляционные смеси и ленты&
;Готовые решения для хамама;Лежаки и скамьи для хамама, сборный хамам Lux Elements;"Готовый хамам за 5 дней - это реально!

Строительство хамама, длительный и трудоемкий процесс, который может занимать до нескольких месяцев кропотливой работы. Можно ли сделать быстро, не в ущерб качеству?
Завод Lux Elements поставляет сборные конструкции для хамама. Это полностью готовый к сборке продукт со всеми необходимыми смесями, клеем и крепежом в комплекте. Все хамамы разрабатываются индивидуально, исходя из размера помещения, пожеланий заказчика по расположению лежаков, форме и размеру купола. После производства, каждый продукт проходит тестовую сборку на заводе в Германии. Далее, каждому элементу присваивается номер. Такая конструкция встраивается внутрь помещения, нет необходимости крепить ее к стене.
На сборку, монтаж и чистовую отделку такого «конструктора» потребуется всего пять дней. В итоге, вы получите турецкую баню своей мечты, которая прослужит Вам долгие годы.

Лежаки и скамейки для хамама.

Lux Elements предлагает 6 вариантов лежаков и скамей для хамама. Разные варианты исполнения, позволят подобрать именно то, что нужно Вам. Лежаки и скамьи могут быть дополнительно оснащены системой электрического подогрева. Так же, для тех, кто предпочитает водный обогрев, возможно изготовление сидений с прорезями для укладки труб. Летом 2013 года инженеры завода Lux Elements представили абсолютно новое решение в строительстве хамамов и обустройстве СПА зоны — это сборные лежаки. Теперь возможно регулировать ширину скамейки в зависимости от Вашего желания, использовать только необходимые для конкретного объекта детали элемента (спинка или фигурное основание). Так же, благодаря нишам под скамьей Вы получаете возможность для легкого и быстрого монтажа всех необходимых коммуникаций. Неизменное немецкое качество данного продукта гарантирует долговечность и прочность построенного Вами объекта, а легкость сборки сэкономит большое количество времени при монтаже. Огромным плюсом данного изделия является его доступная цена.
Панели и конструкции Люкс Элементс широко используются во всем мире благодаря своим основным свойствам: прочность, экологичность, легкость обработки и монтажа, широкая сфера применения, огромная возможность для воссоздания дизайнерских решений.
";Lux Elements, Люкс Элементс, купол для хамама, лежак для хамама, скамья для хамама, готовый хамам, построить хамам, хамам своими руками;Лежики, потолок, готовые решения для хамама. Купить Lux Elements для турецкой бани;hamam.jpg$Lux Elements готовые решения для хамама, лежаки, скамиь, куполы&
;Элементы ванной комнаты;Материалы Lux Elemenst идеально одходят для семонта в ванных комнатах. Умывальники, облицока труб и ванн, душевые поддоны - в стандартных размерах и под заказ.;"Lux Elements для ванных комнат.

Ремонт и отделка ванной требует особых материалов, так как необходимо позаботиться о гидроизоляции стен и пола, предусмотреть ревизионные окна для соединений труб, а так же провести и спрятать инженерные коммуникации.
Универсальные строительные панели Lux Elements подходят для укладки на стены и пол, их легко крепить на деревянные, каменные бетонные и штукатуренные стены. Панели служат для выравнивания стен, а так же являются водонепроницаемой, теплоизолирующей, и стойкой к перепадам температур и воздействию плести основой для отделки плиткой, мозаикой или альтернативными покрытиями. Иная область применения панелей Lux Elements – создание полок, умывальников и других декоративных элементов ванной комнаты, облицовка ванн, а так же зонирование пространства с помощью перегородок и создание стен на металлическом и деревянном каркасе. Одна из физических особенностей панелей Lux Elements – стойкость к температуре, достигающей 75 С. Поэтому конструкции пола из этого материала можно сочетать с системами отопления.
В линейке завода существуют элементы для облицовки труб разной формы – Элементы TEC. Модели TEC-SK с двухсторонним покрытием – это гладкие элементы для облицовки труб, которые накладываются и образуют угол от 20 до 180 градусов. Соответственно в них есть пазы и самоклеящаяся лента.
Так же предусмотрены особые продукты для обшивки ванн. Это полностью демонтируемая облицовка, производится в четырех стандартных формах или по индивидуальному заказу. При необходимости после монтажа элементов обшивки ванны на выбранном месте формируется отверстие для ревизии необходимого размера. Сверху или снизу крепятся удерживающие профили MONT-TOPREV.
Умывальные столики LAVADO под отделку мозаикой дополнят интерьер ванной комнаты. Элемент LAVADO Крепится к стене незаметными кронштейнами для подвешивания, поэтому выглядят парящими в воздухе. В трех моделях выемка разных форм, четвертая модель без выемки, поэтому подходит для стандартных встраиваемых умывальников.
Для использования в душевых существует особая серия поддонов с заводской герметизацией и встроенным уплотненным каркасом для отвода на уровне пола. Душевые поддоны изготовлены с разуклонкой и имеют водонепроницаемое покрытие. Монтировать такой поддон очень легко, так как все необходимые элементы включены в комплект поставки.
";"Lux Elements, Люкс Элементс, обшивка ванн, умывальник, влагостойкая панель, отделка стен ванной, ремонт в ванной, строительная панель, гидроизоляция ванной
   ";Lux Elements Влагостойкие панели для обшивки ванной, гидроизоляция, купить люкс элемент в Москве  ;bath.jpg$Lux Elemenst элементы ванной комнаты, душевые поддоны, умывальники, облицовка труб&
Двери для саун и хамамов;;Двери для саун и хамомов из Германии.;"Двери для саун и хамамов.

Двери для саун, бань и хамамов существенно отличаются от привычных межкомнатных. Отличия обусловлены условиями эксплуатации: высокая температура, влажность. По этому двери для саун изготавливают из закаленного стекла толщиной до 8мм. А двери для хамама, которые ставятся в помещении с практически 100% влажности делают из алюминия.
";стеклянные двери, двери для бани, двери для сауны, банные двери, двери для хамамаб дверь eos, дверь эос;EOS Стеклянные двери для саун и хамамов из Германии. ;.jpg$Печи для саун&
Сборные сауны;;Сборные сауны и инфракрасные кабины СибХольц-Сауна. ;"Сборные сауны.

Баня, сауна - неотъемлемая часть русской культуры, место для оздоровления, отдыха душой и телом. Если раньше баня была обязательно отдельно стоящим строением, то сейчас можно установить сауну в любом месте: в загородном доме или городской квартире и даже в офисе. Технологии строительства сокращают время монтажа до пары часов.
Сборная сауна имеет ряд преимуществ:

- Для нее не нужно специального места
- Быстрая сборка, всего несколько часов
- Широкий выбор моделей, а так же возможность индивидуального исполнения под заказ
- Отапливаются сборные сауны электрической печью, что сокращает время нагрева
- Но самое главное, домашняя сауна всегда доступна для посещения

Компания ЕОС Премиум-СПА-Технологии предлагает кабины СибХольц-Сауна, произведенные в России, в городе Новосибирск из массива сибирского кедра. Готовые сауны комплектуются немецким оборудованием для EOS.";Сборные сауны, готовые сауны, сауны для квартиры, сауны кабины;Купить готвую сауну кабину. Сборные сауны под заказ.;sibholz.jpg$Sibholz сборные домашние сауны из массива сибирского кедра СибХольц-Сауна&
Дозирующие станции WDT;;Дозирующие станции WDT для саун и хамамов;Сейчас обычной турецкой баней уже никого не удивишь: почти в любом фитнесс центре или отеле наряду с сухой финской сауной есть и хамам. Чем можно выделиться? Как привлечь посетителей или удивить друзей? Отличным решением могут стать дозирующие станции от WDT. Все дозирующие станции предварительно смонтированы на плате и готовы к подключению, их монтаж производится в техническом помещении. Управляются они из кабины, с помощью специального влагостойкого пульта.;"WDT, дозирующие станции, дозирующие станции WDT, соляной генератор, генератор пены в хамам,  аромагенератор, ароматерапия, травяная сауна, пенный массаж,
    ";Дозирующие станции WDT для сухих и влажных помещений, для сауны и хамама. Купить по тел. +7 495 66 55 192;soldos_v3.jpg$Дозирующие станции WDT для саун и хамамов&
;Дозирующие станции для саун / соляных;Дозирующие станции WDT для саун и соляных бань.;"Дозирующие станции для саун и соляных комнат.

Существует масса научных исследований, которые доказывают пользу для человеческого организма. Обогащенный солью воздух помогает вылечить заболевания верхних и нижних дыхательных путей, аллергии, кожные заболевания, позволяет остановить развитие астмы на ранних этапах, облегчает дыхание при проявлениях бронхита и респираторных инфекциях. Рукотворная соляная комната - это гармоничное сочетание  природного начала и современных технологий. Дозирующие станции Soldos от немецкого завода WDT помогают воссоздать климат соляных пещер.
";Cоляной генератор, soldos, wdt, ароматерапия, дозирующие станции wdt, травяная сауна, оборудование для саун;Дозирующие станции WDT для бань и саун, Soldos, ароматерапия для создания неповторимой атмосферы в сауне;salt_room.jpg$Дозирующие станции WDT для саун и соляных бань&
;Дозирующие станции для хамамов;Дозирующие станции WDT для хамамов;"Дозирующие станции для хамамов

Турецкая баня – это высокая влажность и горячий пар, казалось бы, все что можно уже придумано. Но когда хочется какого-то разнообразия и уникальности не только в интерьере, но и в функциональном наполнении – на выручку приходит оборудование WDT для влажных помещений. И простым нажатием кнопки, вы получаете новые впечатления. Соляной генератор Soldos служит для создания климата морского побережья. Паровой удар  и душ туман - два противоположных по функциям оборудования, одно согревает, другое - охлаждает. Так же существует специальная ароматерапия для хамама на один, два, три или четыре запаха, которые можно менять в зависимости от настроения и желания.";Соляной генератор, wdt, Soldos, ароматерапия для хамама, дозирующие станции для хамама, расул, пенный массаж, foamdos, паровое облако, паровой удар;Дозирующие станции WDT для хамама и влажных мопещений, soldosб паровой удар и душ туман - гарантируют максимум впечатлений от помещения турецкой бани.;wet_room.jpg$Дозирующие станции WDT для хамамов&
Души впечатлений WDT;;Душ впечатлений WDT - водный аттраукион, дарящий массу впечатлений.;"Душ впечатлений WDT


Душ впечатлений это уникальная комбинация воды, света, запаха и звука, которая способна вызвать целую гамму незабываемых ощущений. Оборудование для душевой кабины, разработанное в Германии позволяет посетителям ощутить силу карибского шторма, холодного скандинавского ливня, погрузиться в наполненный освещающими ароматами горный туман или внезапно попасть под град тяжелых капель тропического дождя, несущего запах экзотических цветов и фруктов.

Комбинация температур и режимов разбрызгивания воды дает возможность испытать самые разные ощущения. Холодные программы душа впечатлений взывают прилив бодрости и сил, а теплые, наоборот, расслабляют. Душ впечатлений станет хорошим продолжением тренировки в бассейне, подарит необыкновенное чувство свежести после сауны или мощный заряд энергии в начале дня.
";души впечатлений wdt, душ впечатлений цена, душ впечатлений купить, дохирующие станции WDT, оборудование WDT, душ аттакцион;Души впечателний WDT комбинация температуры и напора воды, света и ароматов, которая спомобна вызвать массу ощущений.;wdt_shower.jpg$Душ впечатлений WDT - водный аттраукион, дарящий массу впечатлений&
Экстремальное охлаждение;;Оборудование для экстремального охлаждения после сауны.;"Экстремальное охлаждение после сауны.

CПА процедуры основаны на сочетании воздействия воды, температуры, соли лечебных грязей на организм человека. Посещение сауны или турецкой бани – часть современного СПА ритуала. Научно доказано, что правильное охлаждение залог успешного посещения бани. После каждого пребывания в парилке можно неспешно пить воду или горячий чай в предбаннике, но гораздо полезнее и приятнее облиться ледяной водой, окунуться в прорубь или растереться колючим снегом. Снег и лед – это традиционно зимние забавы, которые едва ли доступны жителям городов или южных регионов.

Однако современное оборудование для СПА позволяет испытывать целую гамму ощущений в течении года, вне зависимости от сезона. Снежная комната – это помещение, заполненное мягким снегом. Ледяная прорубь или иначе, ледяная купель – бассейн с холодной водой, по бортам которого образуются ледяные наросты.

Альтернативным методом охлаждения является установка льдогенератора. Причем для СПА-зон необходимо использовать определенный ледогенератор - тот в котором лед на выходе подается в виде чешуек. Этим он отличается от пищевых льдогенераторов, которые дают лед в виде кубиков. Это удобно для коктейлей, но никак не подходит для охлаждения тела. Такие ледогенераторы позволяют производить от 220 до 380 литров чешуйчатого льда в сутки.";снежная комната, снежная комната в сауне, ледяная прорубь, ледяная купель, e-cool, льдогенератор, ледяной фонтан;Оборудование для экстремального охлаждения после сауны и бани: снежная комната, ледяная купель, ледогенератор, ледяной фонтан;cooling.jpg$Оборудование для экстремального охлаждения: ледяной фонтан, снежная комната, ледяная прорубь, фригидариум&
Флотарий;;Капсула для сеансов невесомости Float SPA. Флоатинг – научно обоснованный метод релаксации.;"Капсула для сеансов невесомости Float SPA

Флоатинг – научно обоснованный метод релаксации. Капсула для сеанса невесомости Float SPA наполнена водой с высоким содержанием соли. Вода такой плотности выталкивает тело на поверхность, создавая ощущение невесомости. Температура воды, приближенная к температуре тела, парение, отсутствие внешних раздражителей (свет, шум) – такое состояние испытывает человек, находясь в утробе матери. Научно, оно получило название сенсорная депривация. Метод сенсорной депривации используется при лечении заболеваний нервной системы, а также для ментальной перезагрузки.
Сеанс невесомости длится 50 минут, первые 10 играет расслабляющая музыка и работает светотерапия, далее наступает фаза покоя, и за 10 минут до окончания сеанса снова включается звуковое сопровождение и свет.
Капсула для сеансов невесомости Float SPA – существенно отличается от аналогов, в первую очередь внешним видом. Флотариум выполнен в форме морского камня. Для того, чтобы такая СПА-процедура была приятной, было внедрено несколько уровней фильтрации воды, и продумано 5 степеней очистки.
";флотация, флотариум, парение, Спа-процедура, релаксация, float Spa, флоатинг, сеанс невесомости, флоатинг, сенсорная депривация;Капсула для сеансов невесомости Float SPA. Купить по тел. + 7(495)66-55-192;floatspa.jpg$Капсула для сеансов невесомости Float SPA, флоатинг, сенсорная депривация. Купить в России&
Массажеры Maspo;;Массажеры Maspo для фитнес центров и дома. ;"Массажеры Maspo.

Спортивные массажеры Maspo подходят для использования дома или в фитнес центре. Ручной массажер Maspo Vibromat предназначен для массажа разных участков тела. При этом использования такого массажера возможно сочетать с обычным мануальным. Массажер для тела Topfit может стать отличным дополнением к активной физической тренировке в фитнес центре. Роликовый массажер Masporoll с роликами из натурального дерева предназначен для борьбы с проблемными участками тела, так же способствует избавлению от целлюлита.
";массажер для тела, купить массажер, массажер спортивный, роликовый массажер, магазин массажеров, массажер электрический для тела, массажер Maspo;Массажеры Maspo для фитнес центров и дома. Сделано в Германии.;masporoll.jpg$Массажеры Maspo для фитнес центров и дома&
Кислородное оборудование;;Baldus кислородное оборудование для сауны – больше пользы от похода в баню.;"Baldus. Кислородная сауна.

Кислород – основа жизни на земле. Просто задумайтесь, как долго человек может продержаться без еды? Без воды? А без кислорода? Едва ли пару минут. В раскаленной до ста градусов сауне часто ощущается нехватка кислорода, сердце начинает усиленно работать, чтобы доставить O2 ко всем клеткам организма, именно поэтому такие процедуры не рекомендованы людям с заболеваниями сердечно – сосудистой системы.
Что отличает кислородную сауну?
Кислородное оборудование для сауны представляет из себя клапан, в отверстие которого вставляется штекер дыхательного шланга, и рычаг для включения подачи кислорода. Таким образом, клетки обогащаются кислородом изнутри, снижается нагрузка на сердце и кровеносную систему, выводится лишняя жидкость из организма.
";кислородное оборудование для сауны, кислородное оборудование, кислородное оборудование для бани, baldus;Baldus кислородное оборудование для сауны – больше пользы от похода в баню. Купить по тел. +7(495)66-55-192;baldus.jpg$Baldus кислородное оборудование для сауны&
Для бассейна;;Души для бассейна, садовые души Idea, изливы, аттракцины. ;"Илеальные души для бассейнов.

Многие предпочитают проводить теплые летние дни в домах за городом или на дачных участках. Бассейны – это неотъемлемая часть развлечений в жаркие дни для взрослых и детей. Хлорирование воды – один из наиболее распространенных и действенных способов очистки воды. Тем не менее, при долгом нахождении в бассейне могут возникнуть не приятные ощущения: сухость кожи, зуд. Именно поэтому рекомендуется после плавания принимать душ в проточной воде. Для этого рядом с бассейном принято устанавливать душ. Душевые стойки для установки на улице могут быть с подводом горячей и холодной воды, с подключением только к холодному водоснабжению, а так же с баком для нагрева воды на солнце. Непременно такой душ должен отличаться высоким качеством материалов и износостойкостью для эксплуатации в нашем климате. Идеальное сочетание по цене и качеству – души для бассейна от немецкого производителя душей и аксессуаров Ideal.

";Ideal, души для бассейна, летний душ, уличный душ, лестница для бассейна, лестница в бассейн, излив в бассейн, ;Души для бассейна, садовые души Ideal. Купить по тел.+7(495)66-55-192;kuba_shower.jpg$Души для бассейна, садовые души Idea, изливы, аттракцины&
Оборудование Кнейпа;;Оборудование для водных СПА процедур по методике Кнейпа: Дорожка Кнейпа, Шланг Кнейпа, Ванночки Кнейпа.;"Лечение водой по методу Себастьяна Кнейпа.
Себастьян Кнейп, священник родом из Германии, в Штефансриде. Он исследовал воздействия воды на человеческий организм. На себе испробовал обливания водой различной температуры, принятие ванн, купание, хождения по воде и земле, свой опыт отразил в книге «Мое водолечение». Основа лечения водой по методу Кнейпа лежит в пяти принципах: водолечение, фитотерапия, прогулка и гимнастика, здоровое питание и психосоматика. Данные направления развивались в последующем как совместно, так и индивидуально. Их активно применяют на практике и сейчас.

Дорожка Кнейпа.
Дорожка Кнейпа - это несколько резервуаров (рекомендуется не менее четырех), наполненных водой контрастной температуры (горячей и холодной последовательно). На дне устанавливаются специальные плиты, которые имитируют природные рельефы камней разного размера и формы, которые массируют стопы при ходьбе. Ванночки с горячей водой подсвечиваются красным цветом, с холодной синим.
Можно заказать дорожку Кнейпа круглой или прямоугольной формы, а так же в форме полукруга, с поручнями и затейливым вариантом дизайна. Оборудование отвечает за наполнение ванночек водой, поддержание необходимой температуры, следит за уровнем воды и отвечает за функцию самоочистки.

Ванночка для ног.
Ванночка для аэромассажа ног. Оборудование автоматически заливает и сливает воду, поддерживает температуру. При данной процедуре ноги помещаются в воду до середины икры. Ванночка Кнейпа расслабляет ноги после долгой прогулки, так же размечает кожу, поэтому подобная процедура подходит для подготовки к педикюру или массажу.

Шланги Кнайпа.
Основной этап закаливания – обливание. Шланги Кнайпа изготавливаются из медицинского материала, который препятствует возникновению бактерий, образованию плесни и отложению солей внутри. Струя воды оказывает массажный эффект, воду попеременно направляют главным образом на позвоночник, затылок, область желудка и солнечного сплетения, а также на места сгибания рук и ног.  Оптимальная температура воды для такой процедуры 15-18 °С.
";дорожка кнайпа, дорожка кнейпа, дорожка кнейппа, метод кнейпа, метод кнайпа, водолечение +по методу кнайпа, шланг кнейпа, kneipp, ванна кнейпа;Оборудование для водных СПА процедур по методике Кнейпа: Дорожка Кнейпа, Шланг Кнейпа, Ванночки Кнейпа.;kneipp.jpg$Оборудование для водных СПА процедур по методике Кнейпа: Дорожка Кнейпа, Шланг Кнейпа, Ванночки Кнейпа&
